id,region,cadena_productiva,tipo_empresa,tendencia
36,RM,Contenidos creativos,Empresa,Servicios creativos
38,RM,Contenidos creativos,Empresa,Contenido para redes sociales
38,RM,Contenidos creativos,Empresa,Servicios creativos
42,RM,Bienes creativos,Empresa,Contenido para redes sociales
42,RM,Bienes creativos,Empresa,Nuevos medios
42,RM,Bienes creativos,Empresa,Servicios creativos
45,RM,Contenidos creativos,Profesional independiente,Contenido para redes sociales
46,RM,Bienes creativos,Empresa,Computación o programación creativa
46,RM,Bienes creativos,Empresa,Cultura y entretenimiento
46,RM,Bienes creativos,Empresa,Nuevos medios
47,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
48,RM,Experiencias creativas,Empresa,Computación o programación creativa
48,RM,Experiencias creativas,Empresa,Contenido para redes sociales
48,RM,Experiencias creativas,Empresa,Música
49,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
49,RM,Contenidos creativos,Empresa,Nuevos medios
50,RM,Contenidos creativos,Empresa,Ninguna de las anteriores
55,RM,Servicios creativos,Empresa,Ninguna de las anteriores
56,RM,Bienes creativos,Profesional independiente,Contenido para redes sociales
56,RM,Bienes creativos,Profesional independiente,Editorial
56,RM,Bienes creativos,Profesional independiente,Servicios creativos
58,RM,Contenidos creativos,Empresa,Contenido para redes sociales
58,RM,Contenidos creativos,Empresa,Fintech
58,RM,Contenidos creativos,Empresa,Juegos interactivos
60,RM,Contenidos creativos,Empresa,Computación o programación creativa
60,RM,Contenidos creativos,Empresa,Juegos interactivos
60,RM,Contenidos creativos,Empresa,Música
60,RM,Contenidos creativos,Empresa,Servicios creativos
62,RM,Contenidos creativos,Empresa,Computación o programación creativa
62,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
62,RM,Contenidos creativos,Empresa,Juegos interactivos
63,RM,Contenidos creativos,Empresa,Editorial
64,RM,Contenidos creativos,Empresa,Computación o programación creativa
64,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
65,RM,Experiencias creativas,Profesional independiente,Juegos interactivos
76,RM,Bienes creativos,Empresa,Ninguna de las anteriores
80,RM,Contenidos creativos,Profesional independiente,Ninguna de las anteriores
85,RM,Bienes creativos,Empresa,Cultura y entretenimiento
86,RM,Servicios creativos,Empresa,Computación o programación creativa
86,RM,Servicios creativos,Empresa,Nuevos medios
86,RM,Servicios creativos,Empresa,Servicios creativos
87,RM,Experiencias creativas,Profesional independiente,Computación o programación creativa
87,RM,Experiencias creativas,Profesional independiente,Contenido para redes sociales
87,RM,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
88,RM,Contenidos creativos,Empresa,Contenido para redes sociales
88,RM,Contenidos creativos,Empresa,Cultura y entretenimiento
88,RM,Contenidos creativos,Empresa,Editorial
88,RM,Contenidos creativos,Empresa,Nuevos medios
88,RM,Contenidos creativos,Empresa,Servicios creativos
89,RM,Experiencias creativas,Empresa,Computación o programación creativa
89,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
89,RM,Experiencias creativas,Empresa,Nuevos medios
89,RM,Experiencias creativas,Empresa,Servicios creativos
90,RM,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
93,RM,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
93,RM,Experiencias creativas,Profesional independiente,Juegos interactivos
93,RM,Experiencias creativas,Profesional independiente,Nuevos medios
94,RM,Servicios creativos,Profesional independiente,Computación o programación creativa
94,RM,Servicios creativos,Profesional independiente,Juegos interactivos
94,RM,Servicios creativos,Profesional independiente,Nuevos medios
94,RM,Servicios creativos,Profesional independiente,Servicios creativos
96,RM,Experiencias creativas,Empresa,Computación o programación creativa
96,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
96,RM,Experiencias creativas,Empresa,Nuevos medios
96,RM,Experiencias creativas,Empresa,Servicios creativos
98,RM,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
98,RM,Experiencias creativas,Profesional independiente,Nuevos medios
99,RM,Bienes creativos,Empresa,Cultura y entretenimiento
99,RM,Bienes creativos,Empresa,Música
99,RM,Bienes creativos,Empresa,Nuevos medios
99,RM,Bienes creativos,Empresa,Servicios creativos
100,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
100,RM,Experiencias creativas,Empresa,Música
101,RM,Servicios creativos,Empresa,Cultura y entretenimiento
101,RM,Servicios creativos,Empresa,Juegos interactivos
101,RM,Servicios creativos,Empresa,Servicios creativos
102,RM,Experiencias creativas,Empresa,Cultura y entretenimiento
102,RM,Experiencias creativas,Empresa,Juegos interactivos
102,RM,Experiencias creativas,Empresa,Servicios creativos
