region,tipo_empresa,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,exportaciones_porc_ingreso,internacionalizacion,mercados_intern
RM,Empresa,Contenidos creativos,Computación o programación creativa,Hombre,No,Sí,6-10,Más de 100.000 USD,Sí,4,"Sí, en más de uno",
RM,Empresa,Bienes creativos,Computación o programación creativa,Hombre,No,Sí,6-10,Menos de 10.000 USD,Sí,25,"Sí, pero aún no se han concretado operaciones internacionales",
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,15,"Sí, en uno",USA
RM,Empresa,Servicios creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),Sí,1-5,Más de 100.000 USD,Sí,60,"Sí, en más de uno","USA, UE"
RM,Profesional independiente,Servicios creativos,Contenido para redes sociales,Mujer,,,1-5,,,,,
RM,Empresa,Experiencias creativas,Contenido para redes sociales,Mujer,,,Más de 50,,,,,
RM,Profesional independiente,Bienes creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,No,19,"Sí, en uno",
RM,Empresa,Contenidos creativos,Contenido para redes sociales,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Contenidos creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,0,"No, pero está en las prioridades actuales",
RM,Empresa,Contenidos creativos,Contenido para redes sociales,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,5,"Sí, en uno",
RM,Empresa,Servicios creativos,Contenido para redes sociales,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,0,"Sí, pero aún no se han concretado operaciones internacionales",
RM,Empresa,Servicios creativos,Cultura y entretenimiento,Mujer,,,1-5,Entre 10.000 y 50.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,,,,,,,,
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,,,1-5,,,,,
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,Sí,5,"Sí, en más de uno","Colombia, Argentina, Perú y México"
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Mujer,Sí (especificar cuál),Sí,6-10,Entre 50.000 y 100.000 USD,Sí,20,"Sí, en más de uno","USA, Brasil, México"
RM,Empresa,Bienes creativos,Cultura y entretenimiento,Hombre,No,Sí,11-50,Más de 100.000 USD,Sí,10,"Sí, en más de uno",Canada y EEUU
RM,Profesional independiente,Contenidos creativos,Cultura y entretenimiento,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Bienes creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,Sí,51,"No, pero está en las prioridades actuales","Ventana Sur, Mitcom , Mitcom Jr."
RM,Empresa,Experiencias creativas,Cultura y entretenimiento,Hombre,No,Sí,11-50,Entre 10.000 y 50.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Experiencias creativas,Cultura y entretenimiento,Hombre,No,No,6-10,Entre 10.000 y 50.000 USD,Sí,5,"Sí, en uno","Colombia, España"
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Editorial (medios digitales),Hombre,No,No,1-5,Menos de 10.000 USD,Sí,100,No y no está en los planes actuales,
RM,Profesional independiente,Bienes creativos,Editorial (medios digitales),Hombre,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Contenidos creativos,Fintech,Hombre,Sí (especificar cuál),Sí,6-10,Más de 100.000 USD,Sí,80,"Sí, en más de uno","Mexico, Colombia, Peru"
RM,Empresa,Contenidos creativos,Juegos interactivos,Hombre,,,1-5,,,,,
RM,Empresa,Contenidos creativos,Juegos interactivos,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Contenidos creativos,Juegos interactivos,Hombre,No,Sí,1-5,Más de 100.000 USD,Sí,10,"Sí, en más de uno","Mexico, Colombia"
RM,Empresa,Contenidos creativos,Juegos interactivos,Hombre,Sí (especificar cuál),No,6-10,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Experiencias creativas,Juegos interactivos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Bienes creativos,Ninguna de las anteriores,Mujer,,,,,,,,
RM,Empresa,Servicios creativos,Ninguna de las anteriores,Hombre,Sí (especificar cuál),Sí,Más de 50,Más de 100.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Contenidos creativos,Ninguna de las anteriores,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Profesional independiente,Bienes creativos,Ninguna de las anteriores,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,15,No y no está en los planes actuales,
RM,Empresa,Bienes creativos,Nuevos medios,Mujer,,,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,25,"Sí, en uno",Nueva York
RM,Profesional independiente,Experiencias creativas,Nuevos medios,Mujer,No,Sí,0,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Contenidos creativos,Nuevos medios,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,0,"No, pero está en las prioridades actuales",
RM,Empresa,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Más de 100.000 USD,Sí,10,"No, pero está en las prioridades actuales",
RM,Profesional independiente,Experiencias creativas,Nuevos medios,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,10,"No, pero está en las prioridades actuales",
RM,Profesional independiente,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,50,"Sí, en uno",USA
RM,Profesional independiente,Servicios creativos,Nuevos medios,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
RM,Empresa,Experiencias creativas,Nuevos medios,Hombre,No,No,11-50,Más de 100.000 USD,Sí,1,"Sí, en más de uno",Latinoamérica y Europa
RM,Profesional independiente,Experiencias creativas,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,0,"Sí, en uno","Mexico, Canadá"
RM,Empresa,Bienes creativos,Nuevos medios,Mujer,No,Sí,1-5,Entre 50.000 y 100.000 USD,No,30,"No, pero está en las prioridades actuales",
RM,Empresa,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,5,"No, pero está en las prioridades actuales",
RM,Empresa,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Más de 100.000 USD,Sí,10,"Sí, en más de uno","bolivia, perú, colombia, ecuador, costa rica"
RM,Empresa,Experiencias creativas,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,75,"Sí, en más de uno","Participamos de los más importantes mercados para el XR narrativo: Venice Production Bridge, VR Days, New Images XR Market, Electric South, Cinemart XR, VR Days Brasil, VR Fest Mexico, etc."
